ID_num,TgroupID,GgroupID,sex,beak,thorax,wing,body,w_morph,recorder,computer,date_recorded_by_hand,data_recorded_on_excel,notes
228,NA,G27,M,6.36,3.53,9.68,12.34,L,Ana ,yes,9.26.19,10.16.19,teal
218,T5,G27,M,6.5,3.15,8.78,11.8,L,Ana ,yes,9.26.19,10.16.19,peach
214,NA,G28,M,5.79,3.11,7.94,10.2,L,Ana ,yes,9.26.19,10.16.19,peach
232,T15,G28,M,6.22,3.24,9.08,12.13,L,Ana ,yes,9.26.19,10.16.19,teal
473,T15,G29,M,5.5,3.23,8.61,11.21,L,Ana ,yes,9.26.19,10.16.19,peach
478,T10,G29,M,5.42,3.22,6.12,9.13,S,Ana ,yes,9.26.19,10.16.19,teal
474,T16,G31,M,5.59,3.21,8.56,11.1,L,Ana ,yes,9.26.19,10.16.19,teal
477,NA,G31,M,4.99,3.2,6.43,9.29,S,Ana ,yes,9.26.19,10.16.19,teal
426,NA,G32,M,5.72,3.37,8.43,11.5,L,Ana ,yes,9.26.19,10.16.19,teal
431,NA,G32,M,4.95,2.86,4.52,7.51,S,Ana ,yes,9.26.19,10.16.19,peach
333,T10,G33,M,6.35,3.47,9.51,12.44,L,Ana ,yes,9.26.19,10.16.19,teal
326,T11,G33,M,6.26,2.93,NA,11.22,L,Ana ,yes,9.26.19,10.16.19,peach
246,T8,G34,M,6.35,3.32,9.41,12.15,L,Ana ,yes,9.26.19,10.16.19,teal
237,NA,G34,M,6.47,3.48,9.07,12.4,L,Ana ,yes,9.26.19,10.16.19,peach
485,T19,G35,M,5.68,3.09,8.53,11.24,L,Ana ,yes,9.26.19,10.16.19,teal
490,NA,G35,M,4.69,2.67,4.44,6.84,S,Ana ,yes,9.26.19,10.16.19,peach
394,T12,G36,M,6.39,3.12,9.25,11.7,L,Ana ,yes,9.27.19,10.17.19,peach
400,NA,G36,M,5.98,3.26,8.22,10.61,L,Ana ,yes,9.27.19,10.17.19,teal
376,NA,G37,M,5.9,3.19,9.02,11.42,L,Ana ,yes,9.27.19,10.17.19,peach
364,NA,G37,M,5.98,3.1,9.09,12.48,L,Ana ,yes,9.27.19,10.17.19,teal
487,NA,G38,M,4.93,2.6,4.9,7.02,S,Ana ,yes,9.27.19,10.17.19,peach
481,T11,G38,M,5.53,3.27,8.82,11.09,L,Ana ,yes,9.27.19,10.17.19,teal
402,T9,G39,M,5.59,3.64,8.3,11.28,L,Ana ,yes,9.27.19,10.17.19,peach
410,NA,G39,M,5.49,3.34,8.5,11.44,L,Ana ,yes,9.27.19,10.17.19,teal
427,T13,G40,M,5.38,3.21,8.12,11.29,L,Ana ,yes,9.27.19,10.17.19,teal
432,NA,G40,M,4.94,2.87,4.77,7.65,S,Ana ,yes,9.27.19,10.17.19,peach
442,NA,G41,M,5.33,3.1,5.75,8.35,S,Ana ,yes,9.27.19,10.17.19,peach
435,T14,G41,M,6.06,3.49,9.33,12.13,L,Ana ,yes,9.27.19,10.17.19,peach
365,NA,G42,M,5.48,2.92,8.4,11.32,L,Ana ,yes,9.27.19,10.17.19,peach
377,T18,G42,M,5.71,3.03,8.63,11.21,L,Ana ,yes,9.27.19,10.17.19,teal
425,T8,G43,M,5.32,3.25,8.47,11.11,L,Ana ,yes,9.27.19,10.17.19,peach
429,NA,G43,M,5.12,2.81,4.74,7.56,S,Ana ,yes,9.27.19,10.17.19,peach
507,NA,G44,M,5.87,3.24,9.15,12.05,L,Ana ,yes,9.27.19,10.17.19,peach
511,NA,G44,M,5.2,2.86,5.55,8.68,S,Ana ,yes,9.27.19,10.17.19,teal
412,NA,G45,M,5.84,3.21,8.65,11.32,L,Ana,yes,10.02.19,10.17.19,teal
418,NA,G45,M,5.25,3.12,5.06,7.95,S,Ana,yes,10.02.19,10.24.19,peach
446,NA,G46,M,5.17,2.92,5.78,8.93,S,Ana,yes,10.02.19,10.24.19,teal
451,NA,G46,M,5.32,3.2,8.48,11.1,L,Ana,yes,10.02.19,10.24.19,peach
479,NA,G47,M,5.52,3.23,8.73,11.85,L,Ana,yes,10.02.19,10.24.19,peach
489,NA,G47,M,5,3.21,6.12,8.86,S,Ana,yes,10.02.19,10.24.19,teal
400A,NA,G48,M,6.03,3.27,8.86,11.97,L,Ana,yes,10.02.19,10.24.19,peach
405,NA,G48,M,5.71,3.38,8.78,11.92,L,Ana,yes,10.02.19,10.24.19,teal
430,NA,G49,M,5.33,3.12,7.97,10.59,L,Ana,yes,10.02.19,10.24.19,teal
437,NA,G49,M,5.72,3.1,9.26,12.42,L,Ana,yes,10.02.19,10.24.19,peach
464,NA,G50,M,4.86,2.78,5.19,8,S,Ana,yes,10.03.19,10.24.19,teal
514,NA,G50,M,5.81,3.44,9.2,12.05,L,Ana,yes,10.03.19,10.24.19,peach
408,NA,G51,M,5.71,3.34,8.52,11.57,L,Ana,yes,10.03.19,10.24.19,peach
403,NA,G51,M,5.99,3.3,9.03,11.89,L,Ana,yes,10.03.19,10.24.19,teal
443,NA,G52,M,5.56,3.3,8.59,11.75,L,Ana,yes,10.03.19,10.24.19,teal
445,NA,G52,M,5.61,3.26,8.67,11.59,L,Ana,yes,10.03.19,10.24.19,teal
452,NA,G52,M,5.17,3.04,5.03,7.71,S,Ana,yes,10.03.19,10.24.19,peach
386,NA,G53,M,5.62,3.15,8.79,11.47,L,Ana,yes,10.03.19,10.24.19,teal
383,NA,G53,M,5.6,3.13,8.87,11.72,L,Ana,yes,10.03.19,10.24.19,peach
537,NA,G54,M,5.57,3.18,8.56,11.21,L,Ana,yes,10.03.19,10.24.19,peach
438,NA,G54,M,5.54,3.19,8.77,11.29,L,Ana,yes,10.7.19,10.24.19,teal
555,NA,G55,M,5.68,3.35,8.78,11.98,L,Ana,yes,10.7.19,10.24.19,peach
553,NA,G55,M,5.93,3.1,8.92,11.74,L,Ana,yes,10.7.19,10.24.19,teal
503,NA,G56,M,6.1,3.2,8.89,11.72,L,Ana,yes,10.7.19,10.24.19,teal
488,NA,G56,M,5.12,3.03,5.57,7.8,S,Ana,yes,10.8.19,10.24.19,peach
381,NA,G57,M,5.07,2.88,4.96,7.67,S,Ana,yes,10.8.19,10.24.19,peach
388,NA,G57,M,5.29,2.94,4.98,7.77,S,Ana,yes,10.8.19,10.24.19,teal
422,NA,G58,M,5.34,3.04,7.73,10.43,L,Ana,yes,10.9.19,10.24.19,teal
420,NA,G58,M,5.75,3.29,8.74,11.5,L,Ana,yes,10.9.19,10.24.19,peach
524,NA,G59,M,5.15,3.04,4.92,7.42,S,Ana,yes,10.9.19,10.24.19,peach
395,NA,G59,M,6.37,3.38,9.22,11.93,L,Ana,yes,10.9.19,10.24.19,teal
510,NA,G60,M,5.14,2.8,5.77,8.28,S,Ana,yes,10.9.19,10.24.19,teal
508,NA,G60,M,5.83,3.18,8.82,11.68,L,Ana,yes,10.9.19,10.24.19,peach
502,NA,G61,M,6.28,3.24,8.92,11.74,L,Ana,yes,10.9.19,10.24.19,peach
557,NA,G61,M,5.7,3.33,8.64,10.98,L,Ana,yes,10.9.19,10.24.19,teal
461,NA,G62,M,5.45,3.21,8.41,11.05,L,Ana,yes,10.11.19,10.24.19,teal
456,NA,G62,M,5.75,3.17,8.64,11.25,L,Ana,yes,10.11.19,10.24.19,peach
536,NA,G63,M,5.58,3.16,8.69,11.87,L,Ana,yes,10.11.19,10.24.19,peach
538,NA,G63,M,5.29,3.21,7.99,10.45,L,Ana,yes,10.13.19,10.24.19,teal
387,NA,G64,M,5.62,3.2,8.7,11.31,L,Ana,yes,10.13.19,10.24.19,teal
382,NA,G64,M,5.14,3.01,5.38,7.99,S,Ana,yes,10.13.19,10.24.19,peach
494,NA,G65,M,6.03,3.27,8.81,11.3,L,Ana,yes,10.13.19,10.24.19,teal
497,NA,G65,M,5.55,3.26,8.51,11.28,L,Ana,yes,10.14.19,10.24.19,peach
559,NA,G66,M,5.65,3.11,8.87,11.47,L,Ana,yes,10.14.19,10.24.19,peach
500,NA,G66,M,5.58,3.38,8.52,11.43,L,Ana,yes,10.14.19,10.24.19,teal
468,NA,G67,M,5.58,3.03,8.47,11.28,L,Ana,yes,10.14.19,10.24.19,teal
470,NA,G67,M,5.34,3.04,6.49,9.04,S,Ana,yes,10.14.19,10.24.19,peach
556,NA,G68,M,5.91,3.14,8.64,11.04,L,Ana,yes,10.21.19,10.24.19,teal
552,NA,G68,M,5.91,3.04,8.45,11.3,L,Ana,yes,10.21.19,10.24.19,peach
343,T20,NA,M,6.66,3.45,9.33,12.19,L,Ana,yes,10.21.19,10.24.19,teal
356,T20,NA,M,5.28,3,6.36,8.76,S,Ana,yes,10.21.19,10.24.19,peach
