ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,acclimated
325,,C-3,002,9.9.21,11:45,14:42,38,70,Plantation Key,Y,C,325,0.036,N,,N
24,,C-4,002,9.9.21,11:46,12:16,38,70,Homestead,N,,24,0.094,Y,,Y
246,,D-1,002,9.9.21,11:47,12:19,38,70,Lake Placid,N,,246,0.037,N,,N
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,acclimated
103,,D-2,002,9.9.21,11:48,12:19,20,70,Plantation Key,N,,103,0.079,Y,,Y
347,?,,,,,,,,Homestead,,,347,,,,N
260,,D-3,002,9.9.21,11:49,12:19,20,70,Lake Placid,N,,260,0.043,N,,Y
198,?,,,,,,,,Leesburg,,,198,,,,N
338,,D-4,002,9.9.21,11:50,14:42,20,70,Plantation Key,Y,BC,338,0.043,N,,Y
233,,A-2,003,9.16.21,14:18,14:57,20,70,Homestead,Y,C,233,0.046,N,,N
358,,A-3,003,9.16.21,14:18,15:00,20,70,Homestead,N,,358,0.031,?,,Y
353,,A-4,003,9.16.21,14:19,15:39,20,70,Homestead,Y,BC,353,0.033,?,,N
96,?,,,,,,,,Gainesville,,,96,,,,Y
262,,B-1,003,9.16.21,14:20,14:58,20,70,Lake Placid,N,,262,0.052,?,,N
247,,B-2,003,9.16.21,14:21,14:58,20,70,Lake Placid,N,,247,0.083,?,,Y
320,,B-3,003,9.16.21,14:22,15:40,20,70,Plantation Key,Y,BC,320,0.066,?,,N
56,,B-4,003,9.16.21,14:24,14:58,20,70,Lake Placid,Y,BC,56,0.058,?,,Y
318,?,,,,,,,,Plantation Key,,,318,,,,N
359,,C-2,003,9.16.21,14:18,14:56,20,70,Homestead,Y,B,359,0.051,?,,Y
393,?,,,,,,,,Leesburg,,,393,,,,N
2,?,,,,,,,,Plantation Key,,,2,,,,Y
224,,C-3,003,9.16.21,14:19,14:56,20,70,Homestead,Y,B,224,0.082,?,,N
259,?,,,,,,,,Lake Placid,,,259,,,,Y
28,,C-4,003,9.16.21,14:21,14:56,20,70,Homestead,N,,28,0.068,?,,N
85,,D-1,003,9.16.21,14:21,14:56,20,70,Leesburg,Y,B,85,0.055,?,,Y
239,,D-2,003,9.16.21,14:22,14:56,20,70,Homestead,N,,239,0.033,?,,N
373,Y,,,,,,,,Lake Placid,,,373,,,,Y
314,,D-4,003,9.16.21,14:23,14:56,20,70,Plantation Key,Y,B,314,0.045,?,,N
150,,A-2,003,9.16.21,15:03,15:39,20,70,Lake Placid,Y,BC,150,0.038,?,,Y
337,,A-3,003,9.16.21,15:04,15:39,20,70,Plantation Key,Y,B,337,0.041,?,,N
313,,B-1,003,9.16.21,15:05,15:39,20,70,Plantation Key,Y,B,313,0.042,?,,Y
287,,B-2,003,9.16.21,15:06,15:40,20,70,Leesburg,N,,287,0.036,?,,N
143,Y,,,,,,,,Homestead,,,143,,,,Y
294,,B-4,003,9.16.21,15:07,15:40,20,70,Leesburg,N,,294,0.024,?,,N
4,,C-2,003,9.16.21,15:10,15:48,20,70,Plantation Key,N,,4,0.041,?,,Y
43,,C-3,003,9.16.21,15:11,15:48,20,70,Homestead,N,,43,0.072,?,,N
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,acclimated
395,Y,,,,,,,,Leesburg,,,395,,,,
229,,C-4,004,9.16.21,15:12,11:02,20,70,Homestead,Y,BC,229,0.141,Y,,N
116,Y,,,,,,,,Key Largo,,,116,,,,Y
65,,D-1,004,9.16.21,15:12,15:48,20,70,Lake Placid,N,,65,0.062,?,,N
222,,D-2,004,9.16.21,15:13,15:48,20,70,Homestead,Y,BC,222,0.029,?,,Y
34,,D-4,004,9.16.21,15:16,15:48,20,70,Homestead,Y,B,34,0.050,?,,N
355,,A-2,004,9.16.21,15:41,16:07,20,70,Homestead,N,,355,0.092,?,,Y
392,?,,,,,,,,Leesburg,,,392,,,,N
326,,A-3,004,9.16.21,15:42,16:08,12,70,Plantation Key,N,,326,0.021,?,,Y
315,,A-4,004,9.16.21,15:43,16:08,12,70,Plantation Key,Y,BC,315,0.025,?,,N
263,,B-1,004,9.16.21,15:44,16:08,12,70,Lake Placid,N,,263,0.072,?,,Y
342,,B-2,004,9.16.21,15:45,16:08,12,70,Plantation Key,Y,BC,342,0.023,?,,N
182,,B-3,004,9.16.21,15:46,16:08,12,70,Leesburg,N,,182,0.093,?,,Y
45,,A-2,005,9.17.21,11:35,12:20,12,70,Homestead,Y,BC,45,0.046,N,,N
124,,A-3,005,9.17.21,11:36,12:20,12,70,Homestead,Y,B,124,0.034,N,,Y
369,,A-4,005,9.17.21,11:37,12:20,12,70,Lake Placid,N,,369,0.054,N,,N
183,,B-1,005,9.17.21,11:39,12:21,12,70,Leesburg,Y,B,183,0.054,N,,Y
207,,B-2,005,9.17.21,11:40,12:21,12,70,Plantation Key,Y,B,207,0.051,N,,N
193,,B-3,005,9.17.21,11:40,12:21,12,70,Leesburg,Y,CB,193,0.054,N,,Y
126,,B-4,005,9.17.21,11:41,12:22,12,70,Homestead,Y,B,126,0.041,N,,N
26,,C-2,005,9.17.21,11:42,12:22,12,70,Homestead,N,,26,0.039,N,,Y
341,,C-3,005,9.17.21,11:43,12:22,12,70,Plantation Key,N,,341,0.064,N,,N
361,,C-4,005,9.17.21,11:45,12:23,12,70,Homestead,Y,CB,361,0.053,N,,Y
220,,D-1,005,9.17.21,11:46,12:23,12,70,Homestead,N,,220,0.040,N,,N
362,Y,,,,,,,,Homestead,,,362,,,,Y
9,,D-2,005,9.17.21,11:46,12:23,12,70,Plantation Key,N,,9,0.105,Y,,N
149,,D-4,005,9.17.21,11:47,12:24,12,70,Lake Placid,Y,B,149,0.041,,,Y
232,Y,,,,,,,,Homestead,,,232,,,,N
190,,A-2,005,9.17.21,12:22,13:03,12,70,Leesburg,Y,B,190,0.042,N,,Y
284,,A-3,005,9.17.21,12:22,13:03,12,70,Leesburg,Y,B,284,0.048,N,,N
226,,A-4,005,9.17.21,12:25,13:03,12,70,Homestead,Y,B,226,0.037,N,,Y
127,?,,,,,,,,Homestead,,,127,,,,N
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,acclimated
295,,B-1,005,9.17.21,12:28,13:04,12,70,Leesburg,Y,B,295,0.038,N,,Y
394,Y,,,,,,,,Leesburg,,,394,,,,
285,,B-2,005,9.17.21,12:29,13:04,12,70,Leesburg,N,,285,0.044,N,,N
147,,,,,,,,,Lake Placid,,,147,,,short winged,
302,?,,,,,,,,Plantation Key,,,302,,,,N
215,,B-3,005,9.17.21,12:30,13:04,12,70,Homestead,Y,B,215,0.050,N,,Y
206,,B-4,005,9.17.21,12:30,13:04,12,70,Plantation Key,N,,206,0.084,Y,,N
69,,C-2,005,9.17.21,12:39,13:19,12,70,Lake Wales,N,,69,0.040,N,,Y
304,,C-3,005,9.17.21,12:40,13:19,12,70,Plantation Key,N,,304,0.039,N,,N
151,,C-4,005,9.17.21,12:42,13:19,12,70,Lake Placid,Y,B,151,0.036,N,,Y
140,,D-1,005,9.17.21,12:43,13:20,12,70,Homestead,Y,C,140,0.051,N,sensor on and off; struggling to get axel to turn,N
349,,D-2,005,9.17.21,12:43,13:20,12,70,Homestead,Y,B,349,0.096,Y,,Y
228,,D-4,005,9.17.21,12:44,13:20,12,70,Homestead,Y,B,228,0.041,N,,N
227,,A-2,005,9.17.21,13:05,13:39,12,70,Homestead,N,,227,0.030,N,,Y
154,,A-3,005,9.17.21,13:06,13:39,12,70,Lake Placid,Y,C,154,0.034,N,,N
191,,A-2,006,9.21.21,10:13,10:00,12,70,Leesburg,Y,C,191,0.077,Y,,Y
370,Y,,,,,,,,Lake Placid,,,370,,,,
388,,A-3,006,9.21.21,10:14,10:46,28,40,Leesburg,N,,388,0.053,Y,,N
231,,A-4,006,9.21.21,10:15,10:46,28,40,Homestead,N,,231,0.086,Y,,Y
209,?,,,,,,,,Plantation Key,,,209,,,,
305,,B-1,006,9.21.21,10:16,10:47,28,40,Plantation Key,Y,B,305,0.049,N,,N
283,,B-2,006,9.21.21,10:17,10:47,28,40,Leesburg,Y,B,283,0.078,Y,,Y
240,,B-3,006,9.21.21,10:18,11:06,28,40,Homestead,Y,C,240,0.048,N,,N
201,,B-4,006,9.21.21,10:19,10:47,28,40,Plantation Key,Y,B,201,0.104,Y,,Y
10,,C-2,006,9.21.21,10:19,10:53,28,40,Plantation Key,N,,10,0.028,N,,N
363,,C-3,006,9.21.21,10:20,10:53,28,40,Lake Placid,N,,363,0.088,Y,,Y
168,Y,,,,,,,,Lake Wales,,,168,,,,
33,,C-4,006,9.21.21,10:21,10:53,28,40,Homestead,N,,33,0.078,Y,,N
307,,D-1,006,9.21.21,10:22,10:53,28,40,Plantation Key,Y,B,307,0.040,N,,Y
32,?,,,,,,,,Homestead,,,32,,,,
267,Y,,,,,,,,Lake Wales,,,267,,,,
352,,D-2,006,9.21.21,10:23,10:58,28,40,Homestead,Y,C,352,0.062,N,had to readjust,N
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,acclimated
157,,D-3,006,9.21.21,10:24,10:53,28,40,Lake Placid,Y,B,157,0.046,N,,Y
371,,D-4,006,9.21.21,10:25,10:53,28,40,Lake Placid,Y,B,371,0.042,N,,N
145,?,,,,,,,,Homestead,,,145,,,,
354,,A-3,006,9.21.21,10:49,11:21,28,40,Homestead,Y,B,354,0.046,N,,Y
351,,A-4,006,9.21.21,10:50,11:22,28,40,Homestead,Y,C,351,0.044,N,,N
306,,B-1,006,9.21.21,10:51,11:22,28,40,Plantation Key,N,,306,0.049,N,,Y
164,,B-2,006,9.21.21,10:52,11:22,28,40,Lake Placid,N,,164,0.118,Y,,N
121,Y,,,,,,,,Homestead,,,121,,,,
160,,B-4,006,9.21.21,10:52,11:22,28,40,Lake Placid,Y,B,160,0.077,Y,,Y
216,,C-2,006,9.21.21,10:58,11:32,28,40,Homestead,Y,B,216,0.045,N,,N
256,?,,,,,,,,Lake Placid,,,256,,,,
27,,C-3,006,9.21.21,10:59,10:00,28,40,Homestead,Y,B,27,0.051,N,,Y
301,Y,,,,,,,,Plantation Key,,,301,,,,
66,,C-4,006,9.21.21,11:00,11:32,28,40,Lake Wales,N,,66,0.044,N,,N
214,,D-1,006,9.21.21,11:01,11:34,28,40,Homestead,Y,,214,0.057,N,,Y
376,,D-2,006,9.21.21,11:02,11:34,28,40,Lake Placid,N,,376,0.034,N,,N
280,,D-3,006,9.21.21,11:03,11:34,28,40,Lake Wales,N,,280,0.039,N,,Y
322,,D-4,006,9.21.21,11:04,11:04,28,40,Plantation Key,N,,322,0.041,N,,N
396,,A-3,006,9.21.21,11:25,11:57,28,40,Leesburg,Y,B,396,0.040,N,,Y
333,,A-4,006,9.21.21,11:26,11:57,28,40,Plantation Key,Y,B,333,0.055,N,,N
142,,B-1,006,9.21.21,11:27,12:54,28,40,Homestead,Y,C,142,0.045,N,,Y
218,,B-2,006,9.21.21,11:28,12:00,28,40,Homestead,Y,B,218,0.046,N,,N
139,,B-3,006,9.21.21,11:29,18:00,28,40,Homestead,Y,C,139,0.053,N,,Y
16,?,,,,,,,,Key Largo,,,16,,,,
62,,B-4,006,9.21.21,11:30,12:00,28,40,Lake Placid,N,,62,0.070,Y,,N
251,,,,,,,,,Lake Placid,,,251,,,,
374,,,,,,,,,Lake Placid,,,374,,,,
63,,,,,,,,,Lake Placid,,,63,,,,
381,,,,,,,,,Leesburg,,,381,,,,
202,,,,,,,,,Plantation Key,,,202,,,,
343,,,,,,,,,Plantation Key,,,343,,,,
317,,,,,,,,,Plantation Key,,,317,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,acclimated
78,,,,,,,,,Lake Wales,,,78,,,,
138,,,,,,,,,Homestead,,,138,,,,
237,,,,,,,,,Homestead,,,237,,,,
356,,,,,,,,,Homestead,,,356,,,,
327,,,,,,,,,Plantation Key,,,327,,,,
230,,,,,,,,,Homestead,,,230,,,,
104,,,,,,,,,Plantation Key,,,104,,,,
29,,,,,,,,,Homestead,,,29,,,,
274,,,,,,,,,Lake Wales,,,274,,,,
238,,,,,,,,,Homestead,,,238,,,,
212,,,,,,,,,Homestead,,,212,,,,
129,,,,,,,,,Homestead,,,129,,,,
288,,,,,,,,,Leesburg,,,288,,,,
11,,,,,,,,,Key Largo,,,11,,,,
23,,,,,,,,,Homestead,,,23,,,,
236,,,,,,,,,Homestead,,,236,,,,
31,,,,,,,,,Homestead,,,31,,,,
323,,,,,,,,,Plantation Key,,,323,,,,
117,,,,,,,,,Key Largo,,,117,,,,
290,,,,,,,,,Leesburg,,,290,,,,
225,,,,,,,,,Homestead,,,225,,,,
328,,,,,,,,,Plantation Key,,,328,,,,
217,,,,,,,,,Homestead,,,217,,,,
241,,,,,,,,,Lake Placid,,,241,,,,
300,,,,,,,,,Leesburg,,,300,,,,
36,,,,,,,,,Homestead,,,36,,,,
112,,,,,,,,,Key Largo,,,112,,,,
303,,,,,,,,,Plantation Key,,,303,,,,
101,,,,,,,,,Plantation Key,,,101,,,,
299,,,,,,,,,Leesburg,,,299,,,,
35,,,,,,,,,Homestead,,,35,,,,
22,,,,,,,,,Homestead,,,22,,,,
ID,died?,chamber,set_number,test_date,time_start,time_end,T (D/N),RH,population,flew,flight_type,ID,mass,EWM,NOTES,acclimated
137,,,,,,,,,Homestead,,,137,,,,
61,,,,,,,,,Lake Placid,,,61,,,,
